City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,9.12,66,40,2.3,CA,1680543157
1,port elizabeth,-33.918,25.5701,67.1,83,0,26.46,ZA,1680543111
2,barrow,71.2906,-156.7887,1.42,85,100,12.66,US,1680542863
3,pasni,25.2631,63.471,74.89,65,0,16.04,PK,1680543158
4,milyutinskaya,48.6279,41.6679,50.67,88,67,9.24,RU,1680543158
5,rikitea,-23.1203,-134.9692,79.61,82,75,12.84,PF,1680543159
6,stratford,41.1845,-73.1332,56.66,51,0,9.22,US,1680543159
7,henties bay,-22.116,14.2845,61.93,84,1,9.89,NA,1680543159
8,saint-georges,12.0564,-61.7485,80.47,71,7,14.97,GD,1680543160
9,zyryanka,65.75,150.85,-6.09,92,47,8.34,RU,1680543160
10,punta arenas,-53.15,-70.9167,68.11,30,75,26.46,CL,1680542796
11,albany,42.6001,-73.9662,57.25,30,31,8.01,US,1680543058
12,sitka,57.0531,-135.33,37.29,81,20,3.44,US,1680543161
13,ushuaia,-54.8,-68.3,62.26,36,20,16.11,AR,1680543052
14,poronaysk,49.2167,143.1167,28.9,97,74,2.75,RU,1680543161
15,bluff,-46.6,168.3333,58.8,76,66,15.48,NZ,1680543162
16,bambous virieux,-20.3428,57.7575,79.21,78,40,6.91,MU,1680543162
17,kavieng,-2.5744,150.7967,81.34,77,87,6.15,PG,1680543158
18,talaya,61.3833,152.75,-19.14,95,78,3.98,RU,1680543162
19,kapaa,22.0752,-159.319,71.92,89,100,13.8,US,1680543163
20,grand island,40.925,-98.342,56.61,37,75,21.85,US,1680543163
21,vilyuysk,63.7553,121.6247,11.25,99,100,3.31,RU,1680542975
22,vaini,-21.2,-175.2,75.36,88,20,8.05,TO,1680543165
23,soyo,-6.1349,12.3689,82.31,80,81,10.33,AO,1680543165
24,ponta do sol,32.6667,-17.1,72.72,72,10,7.87,PT,1680543165
25,inhambane,-23.865,35.3833,73.56,77,0,9.13,MZ,1680543166
26,marsh harbour,26.5412,-77.0636,76.23,74,37,8.97,BS,1680543166
27,mogadishu,2.0371,45.3438,82.78,75,81,14.76,SO,1680543097
28,hithadhoo,-0.6,73.0833,82.35,74,51,8.77,MV,1680543167
29,hobart,-42.8794,147.3294,54.05,88,40,8.05,AU,1680543009
30,kaitangata,-46.2817,169.8464,48.69,84,92,6.29,NZ,1680543128
